"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"108",7,"2012","Asia","China","Guangzhou","Guangzhou",113.264385,23.12911,14744
"109",9,"2012","Asia","United Arab Emirates","Jebel Ali (Dubai)","Dubai",55.0272904,24.9857145,13270
"110",10,"2012","Asia","China","Tianjin","Tianjin",117.200983,39.084158,12300
"111",11,"2012","Europe","Netherlands","Rotterdam","Rotterdam",4.4777325,51.9244201,11866
"112",12,"2012","Asia","Malaysia","Port Klang","Port Klang",101.39283,2.999852,10000
"113",13,"2012","Asia","Taiwan","Kaohsiung","Kaohsiung",120.3014353,22.6272784,9781
"114",17,"2012","Asia","China","Dalian","Dalian",121.614682,38.914003,8060
"115",14,"2012","Europe","Germany","Hamburg","Hamburg",9.9936818,53.5510846,8864
"116",15,"2012","Europe","Belgium","Antwerp","Antwerp",4.4024643,51.2194475,8635
"117",19,"2012","Asia","China","Xiamen","Xiamen",118.089425,24.479834,7202
"118",16,"2012","North_America","United States","Los Angeles","Los Angeles",-118.2436849,34.0522342,8078
"119",18,"2012","Asia","Malaysia","Tanjung Pelepas","Tanjung Pelepas",103.551035,1.362374,7700
"120",22,"2012","North_America","United States","Long Beach","Long Beach",-118.1937395,33.7700504,6046
"121",23,"2012","Asia","Thailand","Laem Chabang","Laem Chabang",100.9158073,13.1040552,5830
"122",25,"2012","Asia","Vietnam","Ho Chi Minh City (Saigon)","Saigon",106.6296638,10.8230989,5060
"123",21,"2012","Europe","Germany","Bremen/Bremerhaven","Bremen",8.5809424,53.5395845,6115
"124",24,"2012","North_America","United States","New York and New Jersey","New York",-74.0059413,40.7127837,5530
"125",27,"2012","Asia","China","Yingkou","Yingkou",122.108231,40.266062,4851
"126",20,"2012","Asia","Indonesia","Tanjung Priok (Jakarta)","Jakarta",106.8714848,-6.1320555,6200
"127",26,"2012","Asia","China","Lianyungang","Lianyungang",119.221611,34.596653,5020
"128",28,"2012","Asia","Japan","Tokyo","Tokyo",139.6917064,35.6894875,4752
"129",31,"2012","Asia","India","Mumbai","Mumbai",72.8776559,19.0759837,4260
"130",33,"2012","Europe","Spain","Algeciras","Algeciras",-5.456233,36.1407591,4114
"131",30,"2012","Europe","Spain","Valencia","Valencia",-0.3762881,39.46991,4470
"132",34,"2012","Asia","United Arab Emirates","Khor Fakkan","Khor Fakkan",56.3432629,25.3365669,3996
"133",29,"2012","Asia","Saudi Arabia","Jeddah","Jeddah",39.2375507,21.2854067,4738
"134",32,"2012","Asia","Sri Lanka","Colombo","Colombo",79.861243,6.9270786,4180
"135",41,"2012","South_America","Brazil","Santos","Santos",-46.3288865,-23.9678823,3172
