IDELST;NOM_AGENCE;NUM_AGENCE;ADRESSE1_AGENCE;ADRESSE2_AGENCE;CP_COMMUNE_AGENCE;NIVEAU;CP;ville;Long;Lat;NCOMMUNE;IRIS_code;idexel
F0F6F0F0F5F6F04040404040404040;LE CHATELET EN BRIE;160694398;;16 RUE DE L HOTEL DE VILLE;77820 LE CHATELET EN BRIE;6;77820;LE CHATELET EN BRIE;2.7941;48.50467;77;771000000;560
F0F6F0F0F5F6F14040404040404040;GUIGNES;164060113;;44 RUE DE TROYES;77390 GUIGNES;6;77390;GUIGNES;2.7996;48.63552;77;772220000;561
F0F6F0F0F5F6F24040404040404040;FONTAINEBLEAU;160715678;;20 RUE DU CHATEAU;77300 FONTAINEBLEAU;6;77300;FONTAINEBLEAU;2.70219;48.40481;77;771860103;562
F0F6F0F0F5F6F34040404040404040;BOIS LE ROI;160695032;;4 RUE DE FRANCE;77590 BOIS LE ROI;6;77590;BOIS LE ROI;2.706909;48.469115;77;770370101;563
F0F6F0F0F5F6F44040404040404040;AVON;160720850;;58 AVENUE FRANKLIN ROOSEVELT;77210 AVON;6;77210;AVON;2.722759;48.416168;77;770140103;564
F0F6F0F0F5F6F54040404040404040;PONTHIERRY;164895006;;50 AVENUE ALBERT BEAUFILS;77310 ST FARGEAU PONTHIERRY;6;77310;ST FARGEAU PONTHIERRY;2.54416;48.53008;77;774070103;565
F0F6F0F0F5F6F64040404040404040;LE MEE PLEIN CIEL;164523810;CENTRE COMMERCIAL PLEIN CIEL;120 ALLEE PLEIN CIEL;77350 LE MEE SUR SEINE;6;77350;LE MEE SUR SEINE;2.645459;48.545025;77;772850202;566
F0F6F0F0F5F6F74040404040404040;DAMMARIE LES LYS;164104890;;69 RUE DU MOULIN;77191 DAMMARIE LES LYS CEDEX;6;77191;DAMMARIE LES LYS CEDEX;2.633276;48.51541;77;771520201;567
F0F6F0F0F5F6F84040404040404040;MONTEREAU;164705568;;1 RUE DE LA PEPINIERE ROYALE;77130 MONTEREAU FAULT YONNE;6;77130;MONTEREAU FAULT YONNE;2.9524;48.38505;77;773050202;568
F0F6F0F0F5F6F94040404040404040;MONTEREAU VILLE HAUTE;160734440;CTRE CIAL CARREFOUR;BOULEVARD DIDEROT;77130 MONTEREAU FAULT YONNE;6;77130;MONTEREAU FAULT YONNE;2.95453;48.397835;77;773050104;569
F0F6F0F0F5F7F04040404040404040;LORREZ LE BOCAGE;160735410;;23 RUE DES FONTAINES;77710 LORREZ LE BOCAGE PREAUX;6;77710;LORREZ LE BOCAGE PREAUX;2.89977;48.23725;77;772610000;570
F0F6F0F0F5F7F14040404040404040;EGREVILLE;164295838;;38 PLACE MASSENET;77620 EGREVILLE;6;77620;EGREVILLE;2.871429;48.175711;77;771680000;571
F0F6F0F0F5F7F24040404040404040;VOULX;164319217;;1 RUE DE L ILE;77940 VOULX;6;77940;VOULX;2.96966;48.28198;77;775310000;572
F0F6F0F0F5F7F34040404040404040;MORET SUR LOING;160709410;;36 RUE GRANDE;77250 MORET LOING ET ORVANNE;6;77250;MORET LOING ET ORVANNE;2.849827;48.343674;77;772990000;573
F0F6F0F0F5F7F44040404040404040;CHAMPAGNE SUR SEINE;160745170;;14 RUE PASTEUR;77430 CHAMPAGNE SUR SEINE;6;77430;CHAMPAGNE SUR SEINE;2.79779;48.39917;77;770790101;574
F0F6F0F0F5F7F54040404040404040;MONTIGNY SUR LOING;164455040;;5 RUE DU LOING;77690 MONTIGNY SUR LOING;6;77690;MONTIGNY SUR LOING;2.744599;48.336015;77;773120000;575
F0F6F0F0F5F7F64040404040404040;NEMOURS;164785930;;14 PLACE JEAN JAURES;77140 NEMOURS;6;77140;NEMOURS;2.69571;48.26501;77;773330201;576
F0F6F0F0F5F7F74040404040404040;CHATEAU LANDON;164293073;;4 PLACE DU GENERAL LECLERC;77570 CHATEAU LANDON;6;77570;CHATEAU LANDON;2.70209;48.14924;77;770990000;577
F0F6F0F0F5F7F84040404040404040;PUISEAUX;238327600;;2 PL DU CNE HENRI JACQUEAU;45390 PUISEAUX;6;45390;PUISEAUX;2.46809;48.20371;45;452580000;578
F0F6F0F0F5F7F94040404040404040;SOUPPES SUR LOING;164785350;;5 RUE DE LA REPUBLIQUE;77460 SOUPPES SUR LOING;6;77460;SOUPPES SUR LOING;2.735;48.1834;77;774580101;579
F0F6F0F0F5F8F04040404040404040;LA CHAPELLE LA REINE;164243050;;12 PLACE DE LA REPUBLIQUE;77760 LA CHAPELLE LA REINE;6;77760;LA CHAPELLE LA REINE;2.57008;48.31768;77;770880000;580
F0F6F0F0F5F8F14040404040404040;SAINT PIERRE LES NEMOURS;164455720;;4 RUE DU CLOS SAINT JEAN;77140 ST PIERRE LES NEMOURS;6;77140;ST PIERRE LES NEMOURS;2.67831;48.27021;77;774310102;581
F0F6F0F0F5F8F24040404040404040;COULOMMIERS;164758230;;3 COURS GAMBETTA;77120 COULOMMIERS;6;77120;COULOMMIERS;3.0867;48.81377;77;771310202;582
F0F6F0F0F5F8F34040404040404040;FAREMOUTIERS;164753430;;17 PLACE DU GENERAL DE GAULLE;77515 FAREMOUTIERS;6;77515;FAREMOUTIERS;2.99738;48.79936;77;771760000;583
F0F6F0F0F5F8F44040404040404040;LA FERTE GAUCHER;164758030;;4 PLACE DU GENERAL DE GAULLE;77320 LA FERTE GAUCHER;6;77320;LA FERTE GAUCHER;3.30582;48.78114;77;771820000;584
F0F6F0F0F5F8F54040404040404040;REBAIS;164756720;;11 PLACE DU MARCHE;77510 REBAIS;6;77510;REBAIS;3.2322;48.84643;77;773850000;585
F0F6F0F0F5F8F64040404040404040;CRECY LA CHAPELLE;164638167;;8 RUE DU GENERAL LECLERC;77580 CRECY LA CHAPELLE;6;77580;CRECY LA CHAPELLE;2.907747;48.857923;77;771420000;586
F0F6F0F0F5F8F74040404040404040;NANGIS;164602190;;11 RUE PASTEUR;77370 NANGIS;6;77370;NANGIS;3.0125;48.5573;77;773270101;587
F0F6F0F0F5F8F94040404040404040;ROZAY EN BRIE;164256289;;42 RUE DU GENERAL LECLERC;77540 ROZAY EN BRIE;6;77540;ROZAY EN BRIE;2.95601;48.683585;77;773930000;589
F0F6F0F0F5F9F04040404040404040;MORMANT;164069119;;32 RUE CHARLES DE GAULLE;77720 MORMANT;6;77720;MORMANT;2.891619;48.60628;77;773170000;590
F0F6F0F0F5F9F14040404040404040;PROVINS;164601616;;12 RUE DU TEMPLE;77160 PROVINS;6;77160;PROVINS;3.30303;48.56207;77;773790103;591
F0F6F0F0F5F9F24040404040404040;BRAY SUR SEINE;160671007;;2 RUE DE L HOPITAL;77480 BRAY SUR SEINE;6;77480;BRAY SUR SEINE;3.23529;48.41451;77;770510000;592
F0F6F0F0F5F9F34040404040404040;DONNEMARIE DONTILLY;160673108;;33 RUE MARIE CHAUBART;77520 DONNEMARIE DONTILLY;6;77520;DONNEMARIE DONTILLY;3.133029;48.477949;77;771590000;593
F0F6F0F0F5F9F54040404040404040;VULAINES SUR SEINE;160728686;;44 ROUTE D HERICY;77870 VULAINES SUR SEINE;6;77870;VULAINES SUR SEINE;2.75189;48.43326;77;775330000;595
F0F6F0F0F5F9F64040404040404040;CHELLES AULNOY;164266920;;27 BD PIERRE MENDES FRANCE;77500 CHELLES;6;77500;CHELLES;2.59601;48.87577;77;771080401;596
F0F6F0F0F5F9F74040404040404040;SAVIGNY MEDIATHEQUE;164191975;;12 PLACE PAUL DESPHELIPON;77176 SAVIGNY LE TEMPLE;6;77176;SAVIGNY LE TEMPLE;2.582664;48.581175;77;774450401;597
